# Index r11 r12 r13 tx r21 r22 r23 ty r31 r32 r33 tz 0 0 0 1
109 -0.731140 0.651165 0.203512 0.005274 0.682221 0.699040 0.214281 0.034635 -0.002731 0.295510 -0.955335 0.218449 0 0 0 1
110 -0.786338 0.583313 0.203512 0.004958 0.617110 0.757138 0.214281 0.034931 -0.029094 0.294087 -0.955335 0.218446 0 0 0 1
111 -0.751503 0.630520 0.194128 0.004549 0.659721 0.719600 0.216661 0.035251 -0.003085 0.290892 -0.956750 0.218432 0 0 0 1
112 -0.791185 0.580864 0.191366 0.004208 0.611260 0.761122 0.216918 0.035551 -0.019653 0.288597 -0.957248 0.218429 0 0 0 1
113 -0.689496 0.699448 0.188057 0.003863 0.723815 0.656033 0.213801 0.035817 0.026172 0.283534 -0.958604 0.218420 0 0 0 1
114 -0.738288 0.647496 0.188884 0.003561 0.674455 0.706118 0.215653 0.036134 0.006260 0.286608 -0.958026 0.218433 0 0 0 1
115 -0.741647 0.643406 0.189704 0.003260 0.670785 0.710351 0.213184 0.036409 0.002408 0.285358 -0.958417 0.218437 0 0 0 1
116 -0.825075 0.532052 0.190185 0.002956 0.563610 0.798767 0.210506 0.036682 -0.039914 0.280874 -0.958913 0.218442 0 0 0 1
117 -0.726860 0.662318 0.181677 0.002564 0.686703 0.696822 0.207065 0.036947 0.010547 0.275266 -0.961309 0.218430 0 0 0 1
118 -0.748531 0.636852 0.184714 0.002288 0.663087 0.720530 0.202857 0.037206 -0.003902 0.274326 -0.961628 0.218439 0 0 0 1
119 -0.833239 0.520338 0.186973 0.002005 0.550748 0.810970 0.197490 0.037454 -0.048868 0.267531 -0.962308 0.218444 0 0 0 1
120 -0.641632 0.742957 0.190582 0.001737 0.766749 0.614801 0.184698 0.037628 0.020053 0.264637 -0.964138 0.218439 0 0 0 1
121 -0.852376 0.485819 0.193477 0.001462 0.518113 0.834689 0.186686 0.037950 -0.070798 0.259370 -0.963178 0.218461 0 0 0 1
122 -0.698184 0.689118 0.194045 0.001165 0.715827 0.676248 0.174007 0.038126 -0.011311 0.260392 -0.965436 0.218451 0 0 0 1
123 -0.925476 0.325328 0.194045 0.000863 0.358844 0.917034 0.174007 0.038430 -0.121337 0.230671 -0.965436 0.218462 0 0 0 1
124 -0.695206 0.693060 0.190667 0.000528 0.718502 0.677762 0.156175 0.038555 -0.020988 0.245569 -0.969151 0.218436 0 0 0 1
125 -0.752014 0.630966 0.190667 0.000227 0.657809 0.736814 0.156175 0.038860 -0.041945 0.242868 -0.969151 0.218445 0 0 0 1
126 -0.751485 0.630672 0.193704 -0.000043 0.657912 0.738256 0.148752 0.039091 -0.049189 0.239225 -0.969716 0.218447 0 0 0 1
127 -0.728802 0.656568 0.194329 -0.000337 0.683242 0.715980 0.143355 0.039342 -0.045013 0.237251 -0.970404 0.218445 0 0 0 1
128 -0.834231 0.515186 0.196571 -0.000614 0.543765 0.827781 0.138188 0.039596 -0.091526 0.222169 -0.970702 0.218445 0 0 0 1
129 -0.690935 0.696080 0.195142 -0.000928 0.721574 0.680488 0.127532 0.039796 -0.044019 0.228926 -0.972447 0.218429 0 0 0 1
130 -0.866718 0.459039 0.195142 -0.001227 0.486487 0.864328 0.127532 0.040103 -0.110124 0.205469 -0.972447 0.218427 0 0 0 1
131 -0.691313 0.697277 0.189445 -0.001583 0.720943 0.683140 0.116441 0.040299 -0.048225 0.217077 -0.974962 0.218397 0 0 0 1
132 -0.794989 0.576282 0.189445 -0.001882 0.600958 0.790752 0.116441 0.040606 -0.082701 0.206418 -0.974962 0.218390 0 0 0 1
133 -0.740095 0.647244 0.182572 -0.002250 0.669752 0.733910 0.113167 0.040881 -0.060745 0.206032 -0.976657 0.218365 0 0 0 1
134 -0.735650 0.653505 0.178181 -0.002593 0.675047 0.729039 0.113184 0.041188 -0.055934 0.203544 -0.977466 0.218346 0 0 0 1
135 -0.663764 0.726069 0.179550 -0.002878 0.746921 0.656009 0.108445 0.041448 -0.039048 0.206092 -0.977752 0.218330 0 0 0 1
136 -0.744944 0.641553 0.182938 -0.003143 0.663800 0.740163 0.107359 0.041745 -0.066528 0.201411 -0.977244 0.218321 0 0 0 1
137 -0.796763 0.577527 0.177846 -0.003494 0.599115 0.793389 0.107673 0.042056 -0.078917 0.192341 -0.978149 0.218296 0 0 0 1
138 -0.594374 0.785118 0.174093 -0.003831 0.803894 0.585918 0.102235 0.042308 -0.021738 0.200719 -0.979407 0.218266 0 0 0 1
139 -0.699560 0.692722 0.175358 -0.004119 0.713157 0.692266 0.110333 0.042696 -0.044965 0.202242 -0.978302 0.218258 0 0 0 1
140 -0.689302 0.702930 0.175358 -0.004419 0.723255 0.681709 0.110333 0.043003 -0.041987 0.202881 -0.978302 0.218239 0 0 0 1
141 -0.723270 0.668048 0.174900 -0.004725 0.688708 0.716361 0.111828 0.043324 -0.050585 0.201337 -0.978214 0.218219 0 0 0 1
142 -0.679253 0.713461 0.172010 -0.005056 0.733073 0.670728 0.112806 0.043640 -0.034889 0.202720 -0.978614 0.218194 0 0 0 1
143 -0.707344 0.686431 0.168742 -0.005391 0.705928 0.698288 0.118567 0.044002 -0.036442 0.202988 -0.978502 0.218173 0 0 0 1
144 -0.723173 0.669735 0.168742 -0.005695 0.689437 0.714574 0.118567 0.044307 -0.041170 0.202082 -0.978502 0.218151 0 0 0 1
145 -0.709284 0.684269 0.169382 -0.005992 0.703853 0.700685 0.116746 0.044593 -0.038798 0.202026 -0.978610 0.218128 0 0 0 1
146 -0.711555 0.682493 0.167006 -0.006321 0.701709 0.702417 0.119219 0.044921 -0.035941 0.202021 -0.978721 0.218105 0 0 0 1
147 -0.730206 0.662912 0.165364 -0.006643 0.682108 0.721173 0.120976 0.045240 -0.039060 0.201134 -0.978784 0.218082 0 0 0 1
148 -0.772676 0.614539 0.159093 -0.007013 0.633249 0.763693 0.125569 0.045588 -0.044331 0.197770 -0.979244 0.218055 0 0 0 1
149 -0.681615 0.716112 0.150272 -0.007410 0.731657 0.669499 0.128249 0.045915 -0.008766 0.197364 -0.980290 0.218023 0 0 0 1
150 -0.751724 0.642429 0.148977 -0.007732 0.659014 0.740239 0.133211 0.046264 -0.024700 0.198316 -0.979826 0.218007 0 0 0 1
151 -0.728354 0.669133 0.147507 -0.008056 0.684981 0.716482 0.132108 0.046552 -0.017289 0.197261 -0.980197 0.217983 0 0 0 1
152 -0.729918 0.668026 0.144774 -0.008394 0.683387 0.717591 0.134328 0.046873 -0.014153 0.196985 -0.980303 0.217963 0 0 0 1
153 -0.724745 0.674002 0.143055 -0.008721 0.688936 0.712042 0.135504 0.047183 -0.010531 0.196762 -0.980394 0.217944 0 0 0 1
154 -0.821374 0.552157 0.143055 -0.009032 0.568897 0.811168 0.135504 0.047481 -0.041222 0.192683 -0.980394 0.217928 0 0 0 1
155 -0.709778 0.693233 0.125065 -0.009522 0.704355 0.695944 0.139799 0.047823 0.009875 0.187317 -0.982249 0.217895 0 0 0 1
