#r11 r12 r13 tx r21 r22 r23 ty r31 r32 r33 tz 0 0 0 1
-0.611619 0.788864 0.060130 -0.009667 0.689766 0.494474 0.528883 -0.006541 0.387484 0.364951 -0.846562 0.205172 0 0 0 1
-0.610279 0.789901 0.060130 -0.010028 0.690605 0.493302 0.528883 -0.006242 0.388104 0.364292 -0.846562 0.205315 0 0 0 1
-0.600537 0.798444 0.042918 -0.010563 0.695446 0.495074 0.520822 -0.006038 0.394600 0.342620 -0.852586 0.205420 0 0 0 1
-0.602501 0.797090 0.040492 -0.010952 0.687808 0.492823 0.532959 -0.005644 0.404861 0.348959 -0.845172 0.205679 0 0 0 1
-0.598785 0.800058 0.036943 -0.011353 0.690331 0.492176 0.530288 -0.005409 0.406079 0.343032 -0.847012 0.205864 0 0 0 1
-0.604909 0.795389 0.037959 -0.011709 0.677209 0.488785 0.549979 -0.004960 0.418894 0.358393 -0.834315 0.206210 0 0 0 1
-0.601666 0.797978 0.035070 -0.012106 0.679146 0.487971 0.548310 -0.004732 0.420426 0.353717 -0.835539 0.206431 0 0 0 1
-0.611781 0.790224 0.035655 -0.012468 0.658463 0.483759 0.576545 -0.004211 0.438351 0.376197 -0.816287 0.206868 0 0 0 1
-0.609902 0.791739 0.034190 -0.012850 0.658925 0.482678 0.576923 -0.003973 0.440269 0.374395 -0.816083 0.207123 0 0 0 1
-0.607006 0.793951 0.034439 -0.013216 0.662680 0.481773 0.573367 -0.003778 0.438634 0.370859 -0.818574 0.207359 0 0 0 1
-0.605633 0.795010 0.034172 -0.013586 0.663137 0.480505 0.573903 -0.003543 0.439839 0.370235 -0.818210 0.207627 0 0 0 1
-0.606679 0.794231 0.033716 -0.013957 0.659009 0.478764 0.580079 -0.003252 0.444575 0.374141 -0.813862 0.207938 0 0 0 1
-0.596212 0.802226 0.031050 -0.014350 0.673966 0.479125 0.562325 -0.003198 0.436235 0.356192 -0.826333 0.208082 0 0 0 1
-0.602744 0.797235 0.033392 -0.014691 0.662266 0.476482 0.578247 -0.002804 0.445088 0.370649 -0.815178 0.208459 0 0 0 1
-0.592178 0.805394 0.025812 -0.015130 0.672847 0.476588 0.565811 -0.002689 0.443399 0.352428 -0.824131 0.208632 0 0 0 1
-0.587265 0.809126 0.020847 -0.015540 0.675343 0.475644 0.563626 -0.002466 0.446129 0.345077 -0.825767 0.208871 0 0 0 1
-0.583083 0.812338 0.011033 -0.015998 0.671860 0.474526 0.568708 -0.002161 0.456748 0.339017 -0.822465 0.209151 0 0 0 1
-0.575339 0.817908 0.003299 -0.016432 0.676484 0.473583 0.563994 -0.001945 0.459733 0.326720 -0.825772 0.209354 0 0 0 1
-0.560530 0.828064 -0.010759 -0.016926 0.687760 0.472715 0.550932 -0.001802 0.461293 0.301414 -0.834481 0.209490 0 0 0 1
-0.550520 0.834460 -0.024579 -0.017416 0.689706 0.471215 0.549784 -0.001528 0.470354 0.285715 -0.834945 0.209695 0 0 0 1
-0.534267 0.844537 -0.036272 -0.017881 0.705774 0.469277 0.530718 -0.001423 0.465233 0.257945 -0.846772 0.209775 0 0 0 1
-0.521804 0.851805 -0.046358 -0.018329 0.716099 0.466910 0.518842 -0.001237 0.463597 0.237536 -0.853612 0.209893 0 0 0 1
-0.504347 0.861091 -0.064472 -0.018854 0.726975 0.463713 0.506436 -0.001047 0.465984 0.208550 -0.859864 0.210006 0 0 0 1
-0.497243 0.864881 -0.068775 -0.019240 0.732745 0.461074 0.500495 -0.000784 0.464579 0.198473 -0.863003 0.210141 0 0 0 1
-0.481485 0.872906 -0.078785 -0.019681 0.750294 0.456972 0.477740 -0.000682 0.453025 0.170912 -0.874962 0.210179 0 0 0 1
-0.463451 0.881350 -0.091841 -0.020151 0.769711 0.451750 0.451073 -0.000613 0.439042 0.138359 -0.887749 0.210201 0 0 0 1
-0.454357 0.885589 -0.096398 -0.020534 0.779989 0.447766 0.437175 -0.000409 0.430321 0.123444 -0.894195 0.210280 0 0 0 1
-0.451393 0.887103 -0.096398 -0.020871 0.781482 0.445156 0.437175 -0.000062 0.430732 0.122005 -0.894195 0.210418 0 0 0 1
-0.438221 0.892817 -0.104116 -0.021284 0.797528 0.439628 0.413130 0.000049 0.414622 0.098007 -0.904701 0.210446 0 0 0 1
-0.426390 0.897849 -0.109814 -0.021676 0.813906 0.433797 0.386494 0.000137 0.394650 0.075419 -0.915731 0.210465 0 0 0 1
-0.422130 0.899616 -0.111790 -0.022031 0.815037 0.430615 0.387667 0.000507 0.396890 0.072532 -0.914996 0.210598 0 0 0 1
-0.414838 0.903268 -0.109621 -0.022343 0.831670 0.425283 0.357014 0.000560 0.369099 0.056935 -0.927644 0.210596 0 0 0 1
-0.406388 0.906899 -0.111283 -0.022694 0.845529 0.419429 0.330393 0.000655 0.346309 0.040175 -0.937260 0.210624 0 0 0 1
-0.398954 0.909359 -0.117909 -0.023094 0.847877 0.414798 0.330224 0.001015 0.349200 0.031772 -0.936509 0.210755 0 0 0 1
-0.395422 0.911128 -0.116133 -0.023411 0.852103 0.411092 0.323919 0.001313 0.342873 0.029127 -0.938930 0.210855 0 0 0 1
-0.391585 0.912784 -0.116133 -0.023746 0.853825 0.407503 0.323919 0.001674 0.342993 0.027685 -0.938930 0.210981 0 0 0 1
-0.389245 0.914033 -0.114158 -0.024061 0.853983 0.404538 0.327204 0.002065 0.345256 0.029873 -0.938033 0.211119 0 0 0 1
-0.390867 0.914408 -0.105266 -0.024309 0.853815 0.402913 0.329638 0.002446 0.343837 0.038967 -0.938221 0.211248 0 0 0 1
-0.382987 0.917051 -0.111078 -0.024704 0.856592 0.397577 0.328911 0.002793 0.345790 0.030820 -0.937806 0.211384 0 0 0 1
-0.381396 0.918290 -0.106205 -0.024994 0.858471 0.394459 0.327764 0.003133 0.342876 0.033834 -0.938771 0.211508 0 0 0 1
-0.392354 0.915911 -0.084649 -0.025120 0.852459 0.396648 0.340564 0.003611 0.345502 0.061461 -0.936403 0.211664 0 0 0 1
-0.387733 0.917877 -0.084649 -0.025463 0.854447 0.392347 0.340564 0.003957 0.345808 0.059720 -0.936403 0.211796 0 0 0 1
-0.389309 0.917979 -0.075850 -0.025720 0.853521 0.390480 0.345002 0.004345 0.346323 0.069573 -0.935532 0.211935 0 0 0 1
-0.395446 0.916535 -0.059891 -0.025909 0.851627 0.390302 0.349852 0.004734 0.344027 0.087343 -0.934889 0.212069 0 0 0 1
-0.401166 0.914890 -0.045180 -0.026114 0.849093 0.389914 0.356382 0.005136 0.343666 0.104607 -0.933248 0.212210 0 0 0 1
-0.405891 0.913415 -0.030437 -0.026321 0.848425 0.388974 0.358990 0.005496 0.339746 0.119888 -0.932845 0.212334 0 0 0 1
-0.423010 0.906102 0.006472 -0.026311 0.846880 0.392802 0.358471 0.005820 0.322269 0.157117 -0.933518 0.212442 0 0 0 1
-0.417657 0.908582 0.006472 -0.026674 0.849182 0.387799 0.358471 0.006146 0.323191 0.155213 -0.933518 0.212552 0 0 0 1
-0.414965 0.909746 0.012905 -0.026977 0.852262 0.383702 0.355560 0.006438 0.318517 0.158543 -0.934564 0.212644 0 0 0 1
-0.419682 0.907041 0.033828 -0.027140 0.855126 0.382616 0.349806 0.006698 0.304345 0.175734 -0.936211 0.212723 0 0 0 1
-0.419378 0.906662 0.045680 -0.027398 0.857893 0.379359 0.346563 0.006978 0.296887 0.184529 -0.936914 0.212804 0 0 0 1
-0.426195 0.901147 0.079314 -0.027444 0.864200 0.379661 0.330174 0.007122 0.267423 0.209262 -0.940582 0.212845 0 0 0 1
-0.419592 0.904241 0.079314 -0.027832 0.866955 0.373329 0.330174 0.007425 0.268946 0.207300 -0.940582 0.212914 0 0 0 1
-0.420404 0.900976 0.107253 -0.027947 0.875016 0.371318 0.310596 0.007528 0.240014 0.224424 -0.944472 0.212934 0 0 0 1
-0.410134 0.905434 0.109455 -0.028325 0.882233 0.363444 0.299288 0.007708 0.231205 0.219313 -0.947864 0.212947 0 0 0 1
-0.407417 0.904272 0.127684 -0.028547 0.887766 0.359368 0.287622 0.007881 0.214203 0.230536 -0.949195 0.212971 0 0 0 1
-0.401251 0.905904 0.135407 -0.028879 0.892098 0.352973 0.282082 0.008112 0.207744 0.233982 -0.949787 0.212992 0 0 0 1
-0.389561 0.907283 0.158364 -0.029061 0.905924 0.346492 0.243403 0.008009 0.165964 0.238286 -0.956909 0.212937 0 0 0 1
-0.374677 0.913827 0.156646 -0.029492 0.914039 0.335747 0.227613 0.008135 0.155406 0.228462 -0.961069 0.212902 0 0 0 1
-0.360792 0.921156 0.145950 -0.030014 0.918453 0.323727 0.227256 0.008414 0.162090 0.216040 -0.962836 0.212881 0 0 0 1
-0.345607 0.926378 0.149598 -0.030392 0.927455 0.312960 0.204654 0.008472 0.142769 0.209475 -0.967335 0.212824 0 0 0 1
-0.335055 0.924594 0.181287 -0.030490 0.937635 0.308286 0.160627 0.008316 0.092626 0.223800 -0.970224 0.212773 0 0 0 1
-0.315605 0.933396 0.170778 -0.031009 0.945257 0.293527 0.142588 0.008423 0.082963 0.206431 -0.974938 0.212696 0 0 0 1
-0.300627 0.936728 0.179342 -0.031334 0.952050 0.283544 0.114908 0.008437 0.056786 0.205287 -0.977053 0.212635 0 0 0 1
-0.284852 0.941267 0.181316 -0.031723 0.957818 0.271993 0.092760 0.008510 0.037995 0.200090 -0.979040 0.212567 0 0 0 1
-0.269645 0.948358 0.167056 -0.032269 0.961889 0.257084 0.093148 0.008813 0.045390 0.185807 -0.981537 0.212486 0 0 0 1
-0.240335 0.957269 0.160858 -0.032730 0.970630 0.238832 0.028911 0.008476 -0.010742 0.163082 -0.986554 0.212371 0 0 0 1
-0.221271 0.963338 0.151717 -0.033215 0.974763 0.223201 0.004410 0.008543 -0.029615 0.148864 -0.988414 0.212280 0 0 0 1
-0.210851 0.965673 0.151717 -0.033602 0.977117 0.212657 0.004410 0.008862 -0.028005 0.149175 -0.988414 0.212201 0 0 0 1
-0.192731 0.965937 0.172684 -0.033773 0.977091 0.205108 -0.056785 0.008577 -0.090270 0.157784 -0.983339 0.212166 0 0 0 1
-0.182401 0.967941 0.172684 -0.034147 0.979226 0.194658 -0.056785 0.008909 -0.088579 0.158739 -0.983339 0.212076 0 0 0 1
-0.161996 0.974946 0.152438 -0.034719 0.981353 0.175366 -0.078698 0.009028 -0.103458 0.136846 -0.985175 0.211966 0 0 0 1
-0.135495 0.983939 0.116214 -0.035445 0.981816 0.149083 -0.117521 0.008983 -0.132959 0.098178 -0.986247 0.211863 0 0 0 1
-0.118117 0.987920 0.100316 -0.035963 0.981844 0.131293 -0.136909 0.009138 -0.148426 0.082323 -0.985491 0.211780 0 0 0 1
-0.100970 0.991409 0.083146 -0.036490 0.981403 0.112967 -0.155201 0.009307 -0.163260 0.065929 -0.984378 0.211702 0 0 0 1
